Produkt;Case;Box;Pack;Sklep;Waluta;Sezon;Producent;Typ karty;Typ boxa;Team;cena_box_PLN
Topps Collector Tin Real Madrid 25/26;0,00;29,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;127,46
Topps Collector Tin Barcelona 25/26;0,00;29,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Barcelona;127,46
2025 Topps Chrome MLS Blaster Box (SEALED);0,00;29,99;0,00;pushdich;EUR;2025;Topps;Chrome;Blaster;MLS;127,46
2025 Topps Chrome MLS Value Box;0,00;29,99;0,00;yocardo;EUR;2025;Topps;Chrome;Value;MLS;127,47
Panini FIFA 365 - 2026;0,00;30,00;0,00;sportcardscenter;EUR;2026;Panini;Inne;Inne;FIFA 365;127,50
2026 Topps Chrome Premier League Tin;;129,00;;bigcards;PLN;2026;Topps;Chrome;Tin;EPL;129,00
2025-26 Topps UEFA Club Competitions Value Box;;129,00;;bigcards;PLN;2025/2026;Topps;Club;Value;UEFA;129,00
2025-26 Topps Juventus Collector Tin;;129,00;;bigcards;PLN;2025/2026;Topps;Fan;Tin;Juventus;129,00
2025-26 Topps Soccer Real Madrid Collector Tin;0,00;131,00;0,00;dutchbreakers;PLN;2025/2026;Topps;Fan;Tin;Real Madrid;131,00
2025-26 Topps Flagship UEFA Club Competitions Soccer Value Blaster Box;0,00;31,01;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Club;Blaster;UEFA;131,79
2025-26 Topps Real Madrid FC Collector Tin;0,00;31,01;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;131,79
Topps MLS Chrome 2023 Value Box View now;0,00;132,60;0,00;sportscardsdirect;PLN;2023;Topps;Chrome;Value;MLS;132,60
2024-25 Topps Chrome Bundesliga Soccer Value Box;0,00;31,99;0,00;yocardo;EUR;2024/2025;Topps;Chrome;Value;Bundesliga;135,97
2024-25 Panini Prizm EPL Blaster Box;0,00;32,50;0,00;supercollectors;EUR;2024/2025;Panini;Prizm;Blaster;EPL;138,12
Topps UK - Borussia Dortmund Team Set 21/22 View now;0,00;145,60;0,00;sportscardsdirect;PLN;2021/2022;Topps;Team;Team Set;Borussia Dortmund;145,60
Topps - Chrome Premier League - 2026 - Value Box;0,00;34,90;0,00;mirabilia;EUR;2026;Topps;Chrome;Value;EPL;148,32
Topps - Merlin UEFA - 2024/25 - UCC Value Box;0,00;34,90;0,00;mirabilia;EUR;2024/2025;Topps;Merlin;Value;UEFA;148,32
Topps Chrome - Bundesliga Value Box 25/26;0,00;34,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Chrome;Value;Bundesliga;148,71
Topps Merlin UCC - Value Box 24/25;0,00;34,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Merlin;Value;UCC;148,71
2024-25 Panini Prizm Premiere League Soccer Blaster Box;0,00;34,99;0,00;yocardo;EUR;2024/2025;Panini;Prizm;Blaster;EPL;148,72
2024-25 Panini Select Premier League Blaster Box;0,00;34,99;0,00;yocardo;EUR;2024/2025;Panini;Select;Blaster;EPL;148,72
2024-25 Topps UCC Merlin ñ Value Box;0,00;35,00;0,00;supercollectors;EUR;2024/2025;Topps;Merlin;Value;UCC;148,75
Topps Chrome Bundesliga 2025/26 ñ Value Box;0,00;35,00;0,00;sportcardscenter;EUR;2025/2026;Topps;Chrome;Value;Bundesliga;148,75
2024-25 Topps Merlin UCC Value Box;0,00;35,00;0,00;sportcardscenter;EUR;2024/2025;Topps;Merlin;Value;UCC;148,75
